Day(d),Temperature(℃),pH,C/N,Ammonia(mg·kg−1),Nitrate(mg·kg−1),TN(wt.%),OM(wt.%),AR(L·min−1·kg−1),Additives,Cumulative NH3(g·kg−1),Daily NH3(g·kg−1)
1,31.08058608,7.264202492,23.81524001,26.5654649,43.84615385,1.869662921,76.76363636,0.11155734,0,0,0
3,40.14652015,8.385761366,25.04615548,325.426945,23.84615385,1.728089888,74.61818182,0.11155734,0,0.205546493,0.15
5,54.34065934,8.88346422,25.93864242,1261.859583,4.615384615,1.624719101,72.65454545,0.11155734,0,0.893964111,0.1272
10,61.57509158,8.387170283,24.48686003,690.7020873,2.307692308,1.657303371,69.96363636,0.11155734,0,1.526916803,0.0852
15,53.79120879,8.29775921,23.24552441,225.8064516,10,1.725842697,69.16363636,0.11155734,0,1.569331158,0
21,41.97802198,8.235656616,21.23123743,92.97912713,18.46153846,1.878651685,68.76363636,0.11155734,0,1.585644372,0.0036
28,29.61538462,8.354605932,19.93759501,59.77229602,85.38461538,1.95505618,67.2,0.11155734,0,1.618270799,0
36,25.49450549,8.202504196,19.23079457,26.5654649,163.8461538,1.978651685,65.6,0.11155734,0,1.628058728,0
45,24.94505495,8.267620646,19.18791828,13.28273245,296.9230769,1.979775281,65.49090909,0.11155734,0,1.634584013,0
1,31.08058608,6.757899122,25.48619639,26.5654649,49.23076923,1.771910112,77.85454545,0.11155734,1,0,0
3,48.38827839,7.445450425,24.6698845,491.4611006,26.92307692,1.738202247,73.92727273,0.11155734,1,0.006525285,0.0108
5,58.18681319,8.105889271,23.86691725,1554.079696,24.61538462,1.747191011,71.89090909,0.11155734,1,0.221859706,0.1872
10,57.54578755,7.844663882,23.17611058,969.6394687,43.84615385,1.76741573,70.61818182,0.11155734,1,1.004893964,0.0672
15,56.35531136,7.827585362,21.93359783,511.3851992,66.15384615,1.841573034,69.63636364,0.11155734,1,1.15497553,0
21,31.53846154,7.89208924,20.91972675,332.0683112,146.9230769,1.905617978,68.72727273,0.11155734,1,1.168026101,0
28,26.86813187,8.26419024,20.10171804,192.5996205,233.8461538,1.951685393,67.63636364,0.11155734,1,1.187601958,0
36,25.67765568,8.301961457,19.57146356,86.33776091,286.1538462,1.979775281,66.8,0.11155734,1,1.194127243,0
45,25.03663004,8.376119476,19.22794907,39.84819734,370.7692308,1.991011236,66,0.11155734,1,1.194127243,0
1,31.08058608,6.577055487,24.26537656,26.5654649,41.53846154,1.839325843,76.94545455,0.11155734,1,0,0
3,54.7985348,7.020484422,24.2136894,571.1574953,16.92307692,1.783146067,74.43636364,0.11155734,1,0.013050571,0.0048
5,58.55311355,7.644769244,22.77935361,1866.223909,6.153846154,1.821348315,71.52727273,0.11155734,1,0.091353997,0.0696
10,60.01831502,7.293152665,21.52569781,1394.686907,52.30769231,1.853932584,68.8,0.11155734,1,0.691680261,0.0228
15,55.34798535,7.41167318,20.3229345,929.7912713,90.76923077,1.904494382,66.72727273,0.11155734,1,0.763458401,0
21,42.43589744,7.358636659,19.20408158,664.1366224,127.6923077,2.003370787,66.32727273,0.11155734,1,0.766721044,0
28,29.70695971,7.703612952,18.49589419,405.1233397,245.3846154,2.059550562,65.67272727,0.11155734,1,0.7862969,0
36,25.03663004,7.895103096,17.7101962,199.2409867,296.1538462,2.124719101,64.87272727,0.11155734,1,0.789559543,0
45,25.03663004,8.258579077,17.51431263,19.92409867,353.8461538,2.129213483,64.29090909,0.11155734,1,0.789559543,0
1,31.08058608,6.938718253,24.42984978,26.5654649,48.46153846,1.804494382,76,0.11155734,1,0,0
3,53.05860806,5.383972655,23.40814071,863.3776091,30,1.838202247,74.18181818,0.11155734,1,0.003262643,0.0084
5,59.1025641,4.670092988,22.77234347,1653.70019,18.46153846,1.856179775,72.87272727,0.11155734,1,0.07177814,0.0468
10,61.11721612,4.598752803,21.76705738,2849.14611,7.692307692,1.887640449,70.83636364,0.11155734,1,0.140293638,0.0084
15,53.42490842,5.033752741,20.42627317,3068.311195,5.384615385,1.964044944,69.16363636,0.11155734,1,0.156606852,0
21,36.94139194,5.143452213,20.045298,2756.166983,5.384615385,1.971910112,68.14545455,0.11155734,1,0.163132137,0
28,27.41758242,5.443232912,19.41645873,2218.216319,23.07692308,1.997752809,66.87272727,0.11155734,1,0.169657423,0
36,25.31135531,6.032527596,18.86580596,1686.907021,55.38461538,2.03258427,66.10909091,0.11155734,1,0.172920065,0
45,25.03663004,6.459294562,18.65895126,1454.459203,119.2307692,2.04494382,65.78181818,0.11155734,1,0.169657423,0
1,31.08058608,6.134018598,23.90594773,26.5654649,55.38461538,1.807865169,74.50909091,0.11155734,1,0,0
3,51.31868132,6.342378986,22.80567993,757.1157495,25.38461538,1.846067416,72.58181818,0.11155734,1,0.006525285,0.0012
5,59.74358974,6.577864082,22.25420858,1965.844402,18.46153846,1.871910112,71.81818182,0.11155734,1,0.022838499,0.0156
10,58.91941392,6.786812541,21.54100386,1886.148008,14.61538462,1.874157303,69.6,0.11155734,1,0.16639478,0.0048
15,53.88278388,7.077147373,20.91846139,1673.624288,13.84615385,1.906741573,68.76363636,0.11155734,1,0.182707993,0
21,34.01098901,7.177805275,19.74980862,1348.197343,10,1.985393258,67.6,0.11155734,1,0.185970636,0
28,26.95970696,7.152077233,19.07688511,962.9981025,32.30769231,2.008988764,66.07272727,0.11155734,1,0.189233279,0
36,26.22710623,7.198890019,18.63607494,790.3225806,73.84615385,2.011235955,64.61818182,0.11155734,1,0.192495922,0
45,25.03663004,7.273048038,18.0277202,630.9297913,145.3846154,2.039325843,63.38181818,0.11155734,1,0.192495922,0
1,30.98901099,7.074341791,23.8942806,26.5654649,40.76923077,1.807865169,74.47272727,0.11155734,1,0,0
3,46.73992674,8.033140169,21.81475839,106.2618596,10.76923077,1.871910112,70.4,0.11155734,1,0.029363785,0.0204
5,59.83516484,8.530843022,20.68350565,166.0341556,5.384615385,1.931460674,68.87272727,0.11155734,1,0.137030995,0.0684
10,58.55311355,7.826592995,19.72425144,126.1859583,13.07692308,1.994382022,67.81818182,0.11155734,1,0.287112561,0.036
15,54.52380952,7.927054874,19.13783601,86.33776091,22.30769231,2.020224719,66.65454545,0.11155734,1,0.326264274,0
21,34.74358974,8.072920623,18.53307305,39.84819734,39.23076923,2.026966292,64.76363636,0.11155734,1,0.33278956,0
28,26.22710623,8.128566703,18.26392656,26.5654649,76.92307692,2.03258427,64,0.11155734,1,0.345840131,0
36,25.58608059,8.130159391,17.79191499,13.28273245,176.1538462,2.065168539,63.34545455,0.11155734,1,0.345840131,0
45,25.12820513,8.131984857,17.47776186,13.28273245,246.1538462,2.085393258,62.83636364,0.11155734,1,0.345840131,0
1,30.98901099,6.703637455,23.99821201,26.5654649,40.76923077,1.771910112,73.30909091,0.11155734,1,0,0
3,49.76190476,7.119953935,23.3457916,723.9089184,10.76923077,1.761797753,70.90909091,0.11155734,1,0.006525285,0.0072
5,57.36263736,7.445854722,21.86841465,2138.519924,4.615384615,1.825842697,68.83636364,0.11155734,1,0.07177814,0.0468
10,62.94871795,6.868198915,19.98283692,1859.582543,23.07692308,1.951685393,67.23636364,0.11155734,1,0.60685155,0.012
15,57.36263736,6.389975865,18.93149911,1434.535104,41.53846154,1.988764045,64.90909091,0.11155734,1,0.649265905,0
21,42.25274725,6.572020141,18.15296332,1255.218216,72.30769231,2.008988764,62.87272727,0.11155734,1,0.659053834,0
28,26.86813187,6.907954866,17.59195322,1089.184061,109.2307692,2.019101124,61.23636364,0.11155734,1,0.672104405,0
36,26.22710623,7.180819132,17.26437788,883.3017078,127.6923077,2.028089888,60.36363636,0.11155734,1,0.672104405,0
45,25.03663004,7.381546868,17.09777952,697.3434535,176.9230769,2.040449438,60.14545455,0.11155734,1,0.675367047,0
0,30.0130662,6.249558304,15.74509804,955.3398058,589.9805447,1.908560311,69.56699346,0.085251492,0,0,0
3,49.22038328,6.772084806,16.5,2178.640777,619.1634241,1.680933852,63.04738562,0.085251492,0,0.056173464,0.033548713
7,52.29094077,8.534893993,13.59477124,4578.640777,619.1634241,1.791828794,53.65604575,0.085251492,0,0.227998176,0.027993569
10,50.20034843,8.506183746,11.28431373,3413.592233,706.7120623,1.972762646,44.96323529,0.085251492,0,0.302345407,0.02156703
13,47.32578397,8.253533569,10.32352941,2796.116505,942.6070039,2.054474708,42.79003268,0.085251492,0,0.3320843,0.0044659
17,38.7674216,8.161660777,8.767973856,1957.281553,1061.770428,2.159533074,37.43464052,0.085251492,0,0.338692943,0.002069563
20,31.84233449,7.891784452,7.784313725,1234.951456,1239.299611,2.276264591,34.64052288,0.085251492,0,0.345301585,0.001851715
0,30.07839721,6.416077739,15.99673203,897.0873786,560.7976654,1.89688716,69.56699346,0.085070183,1,0,0
3,57.45209059,5.973939929,16.08823529,2400,738.3268482,1.575875486,62.58169935,0.085070183,1,0.03791888,0.022173319
7,55.23083624,8.270759717,10.9869281,4077.669903,945.0389105,1.96692607,45.73937908,0.085070183,1,0.161567402,0.023586324
10,52.09494774,8.161660777,9.111111111,3122.330097,1061.770428,2.177042802,39.84068627,0.085070183,1,0.212675457,0.013043129
13,48.89372822,8.23630742,8.973856209,2563.106796,1032.587549,2.206225681,42.24673203,0.085070183,1,0.229161927,0.002282547
17,39.42073171,8.092756184,7.441176471,1561.165049,1149.319066,2.340466926,32.85539216,0.085070183,1,0.237405162,0.002065162
20,32.56097561,8.02959364,6.663398693,955.3398058,1472.762646,2.515564202,32.46732026,0.085070183,1,0.242351102,0.001739084
0,38.55024712,7.113367174,15.6960476,1854.166667,38.47487002,2.193133201,59.34615385,0.2,0,0,0
4,50.08237232,8.906937394,18.15465778,9458.333333,496.0138648,1.912101386,59.84615385,0.2,0,0.01924812,0.019849624
6,52.04283361,8.983079526,19.48767245,7979.166667,449.220104,1.70117201,57.15384615,0.2,0,0.037894737,0.021353383
8,46.73805601,8.72927242,17.32769229,5666.666667,466.897747,1.780618346,53.19230769,0.2,0,0.125353383,0.179849624
14,38.20428336,8.297800338,15.14739644,4604.166667,496.0138648,2.019244244,52.73076923,0.2,0,0.37606015,0.088120301
23,26.15321252,8.060913706,12.55540481,3812.5,424.2634315,2.421890629,52.42307692,0.2,0,0.55687218,0.024962406
0,37.68533773,6.673434856,15.27972514,1895.833333,102.9462738,2.223687485,58.57692308,0.2,1,0,0
4,51.5815486,8.492385787,16.54078906,10479.16667,429.4627383,2.04741056,58.38461538,0.2,1,0.01912782,0.021327589
6,54.98352554,8.433164129,16.58388818,9833.333333,210.0519931,1.918326628,54.84615385,0.2,1,0.045112782,0.035059051
8,51.00494234,8.187817259,15.79357185,9895.833333,202.7729636,2.008670154,54.69230769,0.2,1,0.098406015,0.077422071
14,41.02965404,7.824027073,13.57882604,10104.16667,176.7764298,2.252499072,52.73076923,0.2,1,0.171669173,0.03301394
23,27.24876442,7.671742809,12.07774797,9625,160.1386482,2.467799579,51.38461538,0.2,1,0.242766917,0.01168635
0,36.93574959,4.795262267,15.72759723,1875,38.47487002,2.147597487,58.23076923,0.2,1,0,0
4,52.56177924,7.054145516,15.6655955,8062.5,219.4107452,2.114798217,57.11538462,0.2,1,0.001684211,0.000876476
6,55.44481054,7.942470389,14.54785972,10333.33333,190.2946274,2.028850891,50.88461538,0.2,1,0.002526316,0.001168635
8,49.79406919,8.001692047,15.17705363,11458.33333,145.5805893,2.027058059,53.03846154,0.2,1,0.005533835,0.005551016
